,Disk I/O time,Buffer Cache I/O time
0,0.0007078081835061312,0.00020534591749310493
1,0.0008287020027637482,0.0001752141397446394
2,0.0007461849600076675,0.00023874593898653984
3,0.0007400610484182835,0.00024392083287239075
4,0.0007278560660779476,0.0002169571816921234
5,0.0007383550982922316,0.00020439503714442253
6,0.0007200688123703003,0.00020796293392777443
7,0.0007103721145540476,0.00019310694187879562
8,0.0007220259867608547,0.00020693708211183548
9,0.0007335820700973272,0.00021045096218585968
