,Disk I/O time,Buffer Cache I/O time
0,0.0002914769574999809,4.371395334601402e-05
1,0.0003092437982559204,4.156096838414669e-05
2,0.0003054169937968254,5.727401003241539e-05
3,0.00030841119587421417,5.685281939804554e-05
4,0.0003137439489364624,5.315104499459267e-05
5,0.00029757991433143616,4.8215966671705246e-05
6,0.00030265795066952705,4.810909740626812e-05
7,0.00029854499734938145,5.030282773077488e-05
8,0.0003043951001018286,4.9626920372247696e-05
9,0.0003068449441343546,5.2549876272678375e-05
