,Disk I/O time,Buffer Cache I/O time
0,0.0002328050322830677,2.9352959245443344e-05
1,0.0002333850134164095,2.9139919206500053e-05
2,0.00023683416657149792,3.5709934309124947e-05
3,0.00023710494861006737,3.672996535897255e-05
4,0.0002354851458221674,3.386195749044418e-05
5,0.00022939383052289486,2.9477057978510857e-05
6,0.00023112399503588676,3.729015588760376e-05
7,0.00022890279069542885,3.011501394212246e-05
8,0.00023416709154844284,3.824685700237751e-05
9,0.00022969604469835758,3.0935974791646004e-05
