,Decode time
0,0.06017964705824852
1,0.002919585909694433
2,0.002697333926334977
3,0.002691039815545082
4,0.0026914209593087435
5,0.002663190010935068
6,0.0026683530304580927
7,0.0026527170557528734
8,0.0026599860284477472
9,0.002652952214702964
10,0.002668175846338272
11,0.0026415600441396236
12,0.0026612149085849524
13,0.002647327957674861
14,0.0026673399843275547
15,0.0026412690058350563
16,0.00266310409642756
17,0.002647347981110215
18,0.002661659149453044
19,0.0026796909514814615
20,0.0027039058040827513
21,0.0026212669909000397
22,0.002653334988281131
23,0.002631286857649684
24,0.00264299800619483
25,0.0026354410219937563
26,0.002652321010828018
27,0.0026291650719940662
28,0.0026531529147177935
29,0.0026330039836466312
30,0.0026415998581796885
31,0.0026318870950490236
32,0.002657579956576228
33,0.002619936829432845
34,0.0026545620057731867
35,0.002631321083754301
36,0.002643480896949768
37,0.002631368115544319
38,0.0027990490198135376
39,0.002715220907703042
40,0.0026510930620133877
41,0.002632799092680216
42,0.0026532569900155067
43,0.0026253140531480312
44,0.0026527198497205973
45,0.002634190022945404
46,0.002642769133672118
47,0.0026349860709160566
48,0.0026548670139163733
49,0.002628619084134698
50,0.002653141040354967
51,0.002633956028148532
52,0.002645500935614109
53,0.002629671012982726
54,0.0026532108895480633
55,0.0026678198482841253
56,0.0028128300327807665
57,0.002655987860634923
58,0.0026495771016925573
59,0.002721410011872649
60,0.00278445309959352
61,0.002655158983543515
62,0.0027872698847204447
63,0.0028024730272591114
64,0.06153074209578335
65,0.0028505499940365553
66,0.002611055038869381
67,0.0026646689511835575
68,0.0026804511435329914
69,0.0025485809892416
70,0.002543854992836714
71,0.002640024060383439
72,0.0025356679689139128
73,0.0025436431169509888
74,0.0025481749325990677
75,0.0026200588326901197
76,0.0026612780056893826
77,0.002544214017689228
78,0.002533599967136979
79,0.0026392261497676373
80,0.0025420519523322582
81,0.0025347669143229723
82,0.0025458368472754955
83,0.0026239820290356874
84,0.002737832022830844
85,0.0025417469441890717
86,0.00254107010550797
87,0.0026324260979890823
88,0.0025405939668416977
89,0.0025429329834878445
90,0.0025384430773556232
91,0.0026231298688799143
92,0.002662012120708823
93,0.002531354082748294
94,0.002536834916099906
95,0.002644167048856616
96,0.0025348260533064604
97,0.0025405248161405325
98,0.002538805129006505
99,0.0026318610180169344
100,0.002671728143468499
101,0.002535531995818019
102,0.0025340609718114138
103,0.0026466751005500555
104,0.0026236949488520622
105,0.00254038511775434
106,0.002544512040913105
107,0.0026119821704924107
108,0.0026658959686756134
109,0.002538410946726799
110,0.002528951968997717
111,0.0026416180189698935
112,0.0025378160644322634
113,0.0025331410579383373
114,0.0025456640869379044
115,0.0026215030811727047
116,0.002658291021361947
117,0.002539467066526413
118,0.0025365559849888086
119,0.002630752045661211
