,Decode time
0,0.08742218394763768
1,0.028747952077537775
2,0.025698160054162145
3,0.022259101970121264
4,0.022316488903015852
5,0.0216975889634341
6,0.02070267521776259
7,0.0204020740929991
8,0.020339532056823373
9,0.020198407815769315
10,0.01987972017377615
11,0.020291819935664535
12,0.02002149005420506
13,0.019964314065873623
14,0.020210986956954002
15,0.01996669895015657
16,0.01991045894101262
17,0.020187604008242488
18,0.01999107305891812
19,0.01994302519597113
20,0.020162391010671854
21,0.01997576793655753
22,0.019856532104313374
23,0.020120039815083146
24,0.02004813007079065
25,0.019882570952177048
26,0.02018480678088963
27,0.01995381503365934
28,0.01992102712392807
29,0.02024026680737734
30,0.02062476286664605
31,0.020579437958076596
32,0.020560286939144135
33,0.020400915993377566
34,0.020130372140556574
35,0.020226242020726204
36,0.02021424798294902
37,0.020627227146178484
38,0.020909630926325917
39,0.01998638780787587
40,0.01988293696194887
41,0.02022041706368327
42,0.019991211825981736
43,0.024008634965866804
44,0.02042038692161441
45,0.019972056848928332
46,0.019940665923058987
47,0.020469669019803405
48,0.020013035042211413
49,0.01991257700137794
50,0.020234500989317894
51,0.01991494302637875
52,0.01985257980413735
53,0.020129760028794408
54,0.019949112087488174
55,0.0202723890542984
56,0.02142744092270732
57,0.020454730140045285
58,0.02008106606081128
59,0.020888325991109014
60,0.020848345942795277
61,0.020599131006747484
62,0.020476863021031022
63,0.020789077039808035
64,0.08487172005698085
65,0.027097336016595364
66,0.023220152128487825
67,0.020305422134697437
68,0.020052646985277534
69,0.020290483022108674
70,0.020051107043400407
71,0.02001593098975718
72,0.02010245993733406
73,0.020142334047704935
74,0.020175303099676967
75,0.021057944977656007
76,0.020629635080695152
77,0.020188265945762396
78,0.020051496103405952
79,0.019962523132562637
80,0.02006494696252048
81,0.020118571119382977
82,0.01999266305938363
83,0.019960572011768818
84,0.020083757815882564
85,0.020028305938467383
86,0.019971620989963412
87,0.02042092802003026
88,0.019995454931631684
89,0.019982897909358144
90,0.020047483034431934
91,0.019997766008600593
92,0.01991814491339028
93,0.020083471899852157
94,0.02084342297166586
95,0.020534925861284137
96,0.02084242505952716
97,0.020399022148922086
98,0.02005655108951032
99,0.02019062009640038
100,0.019981650169938803
101,0.019955047173425555
102,0.020069224061444402
103,0.019939836813136935
104,0.019955351948738098
105,0.02008429798297584
106,0.01999165490269661
107,0.020031717140227556
108,0.024209789000451565
109,0.020181259838864207
