,Slowest end time,Training end time,Delay time (sec),Training stall time (sec),Training Stall time (sec)_gpu0,Training Stall time (sec)_gpu1,Training Stall time (sec)_gpu2,Training Stall time (sec)_gpu3
61,2021-08-19 14:49:41.235410,2021-08-19 14:49:42.145710,0.0,6.238087,6.238087,6.238087,6.238087,6.238087
62,2021-08-19 14:49:41.345048,2021-08-19 14:49:43.056010,0,0,0,0,0,0
63,2021-08-19 14:49:38.909442,2021-08-19 14:49:43.966310,0,0,0,0,0,0
64,2021-08-19 14:49:49.991333,2021-08-19 14:49:50.901633,0.0,6.025023,6.025023,6.025023,6.025023,6.025023
65,2021-08-19 14:49:50.209894,2021-08-19 14:49:51.811933,0,0,0,0,0,0
66,2021-08-19 14:49:47.758163,2021-08-19 14:49:52.722233,0,0,0,0,0,0
67,2021-08-19 14:49:58.630590,2021-08-19 14:49:59.540890,0.0,5.908357,5.908357,5.908357,5.908357,5.908357
68,2021-08-19 14:49:58.831442,2021-08-19 14:50:00.451190,0,0,0,0,0,0
69,2021-08-19 14:49:56.375890,2021-08-19 14:50:01.361490,0,0,0,0,0,0
70,2021-08-19 14:50:07.717975,2021-08-19 14:50:08.628275,0.0,6.356485,6.356485,6.356485,6.356485,6.356485
71,2021-08-19 14:50:07.726467,2021-08-19 14:50:09.538575,0,0,0,0,0,0
72,2021-08-19 14:50:05.356146,2021-08-19 14:50:10.448875,0,0,0,0,0,0
73,2021-08-19 14:50:16.664265,2021-08-19 14:50:17.574565,0.0,6.21539,6.21539,6.21539,6.21539,6.21539
74,2021-08-19 14:50:16.529624,2021-08-19 14:50:18.484865,0,0,0,0,0,0
75,2021-08-19 14:50:14.216623,2021-08-19 14:50:19.395165,0,0,0,0,0,0
76,2021-08-19 14:50:25.502399,2021-08-19 14:50:26.412699,0.0,6.107234,6.107234,6.107234,6.107234,6.107234
77,2021-08-19 14:50:25.425887,2021-08-19 14:50:27.322999,0,0,0,0,0,0
78,2021-08-19 14:50:23.014594,2021-08-19 14:50:28.233299,0,0,0,0,0,0
79,2021-08-19 14:50:34.221151,2021-08-19 14:50:35.131451,0.0,5.987852,5.987852,5.987852,5.987852,5.987852
80,2021-08-19 14:50:34.071462,2021-08-19 14:50:36.041751,0,0,0,0,0,0
