,Slowest end time,Training end time,Delay time (sec),Training stall time (sec),Training Stall time (sec)_gpu0,Training Stall time (sec)_gpu1,Training Stall time (sec)_gpu2,Training Stall time (sec)_gpu3
59,2021-08-19 14:49:32.409030,2021-08-19 14:49:34.092866,0,0,0,0,0,0
60,2021-08-19 14:49:30.241237,2021-08-19 14:49:35.003166,0,0,0,0,0,0
61,2021-08-19 14:49:41.241253,2021-08-19 14:49:42.151553,0.005843000000000487,6.238087,6.232244,6.234963,6.235851,6.238087
62,2021-08-19 14:49:41.350905,2021-08-19 14:49:43.061853,0,0,0,0,0,0
63,2021-08-19 14:49:38.914426,2021-08-19 14:49:43.972153,0,0,0,0,0,0
64,2021-08-19 14:49:49.997176,2021-08-19 14:49:50.907476,0.0058429999999995985,6.025023,6.01918,6.021899,6.022787,6.025023
65,2021-08-19 14:49:50.215751,2021-08-19 14:49:51.817776,0,0,0,0,0,0
66,2021-08-19 14:49:47.763147,2021-08-19 14:49:52.728076,0,0,0,0,0,0
67,2021-08-19 14:49:58.636433,2021-08-19 14:49:59.546733,0.0058429999999995985,5.908357,5.902514,5.905233,5.906121,5.908357
68,2021-08-19 14:49:58.837299,2021-08-19 14:50:00.457033,0,0,0,0,0,0
69,2021-08-19 14:49:56.380874,2021-08-19 14:50:01.367333,0,0,0,0,0,0
70,2021-08-19 14:50:07.723818,2021-08-19 14:50:08.634118,0.005843000000000487,6.356485,6.350642,6.353361,6.354249,6.356485
71,2021-08-19 14:50:07.732324,2021-08-19 14:50:09.544418,0,0,0,0,0,0
72,2021-08-19 14:50:05.361130,2021-08-19 14:50:10.454718,0,0,0,0,0,0
73,2021-08-19 14:50:16.670108,2021-08-19 14:50:17.580408,0.005843000000000487,6.21539,6.209547,6.212266,6.213154,6.21539
74,2021-08-19 14:50:16.535481,2021-08-19 14:50:18.490708,0,0,0,0,0,0
75,2021-08-19 14:50:14.221607,2021-08-19 14:50:19.401008,0,0,0,0,0,0
76,2021-08-19 14:50:25.508242,2021-08-19 14:50:26.418542,0.005843000000000487,6.107234,6.101391,6.10411,6.104998,6.107234
77,2021-08-19 14:50:25.431744,2021-08-19 14:50:27.328842,0,0,0,0,0,0
78,2021-08-19 14:50:23.019578,2021-08-19 14:50:28.239142,0,0,0,0,0,0
79,2021-08-19 14:50:34.226994,2021-08-19 14:50:35.137294,0.005843000000000487,5.987852,5.982009,5.984728,5.985616,5.987852
80,2021-08-19 14:50:34.077319,2021-08-19 14:50:36.047594,0,0,0,0,0,0
81,2021-08-19 14:50:31.616068,2021-08-19 14:50:36.957894,0,0,0,0,0,0
82,2021-08-19 14:50:42.836525,2021-08-19 14:50:43.746825,0.005843000000000487,5.878631,5.872788,5.875507,5.876395,5.878631
83,2021-08-19 14:50:42.085605,2021-08-19 14:50:44.657125,0,0,0,0,0,0
84,2021-08-19 14:50:40.172380,2021-08-19 14:50:45.567425,0,0,0,0,0,0
