,Epoch,Index number,Start time_gpu0,Start time_gpu1,Start time_gpu2,Start time_gpu3,Fetch time (sec)_gpu0,Fetch time (sec)_gpu1,Fetch time (sec)_gpu2,Fetch time (sec)_gpu3,Fetch done time (sec)_gpu0,Fetch done time (sec)_gpu1,Fetch done time (sec)_gpu2,Fetch done time (sec)_gpu3
679,1,679,2021-09-01 20:23:35.287231000,2021-09-01 20:23:33.016219000,2021-09-01 20:23:49.613129000,2021-09-01 20:23:42.451734000,8.790769318118691,9.590781014878305,9.065871281083671,8.914266153238714,2021-09-01 20:23:44.078000318,2021-09-01 20:23:42.607000015,2021-09-01 20:23:58.679000281,2021-09-01 20:23:51.366000153
680,1,680,2021-09-01 20:23:38.631867000,2021-09-01 20:23:38.529411000,2021-09-01 20:23:41.318313000,2021-09-01 20:23:40.559198000,8.916133385151625,8.88258902868256,9.616686816327274,8.733801510185003,2021-09-01 20:23:47.548000385,2021-09-01 20:23:47.412000029,2021-09-01 20:23:50.934999816,2021-09-01 20:23:49.292999510
681,1,681,2021-09-01 20:23:50.412630000,2021-09-01 20:23:43.592361000,2021-09-01 20:23:46.787406000,2021-09-01 20:23:55.047976000,8.758370216935873,8.903638824820518,8.865594384260476,8.898023575078696,2021-09-01 20:23:59.171000217,2021-09-01 20:23:52.495999825,2021-09-01 20:23:55.653000384,2021-09-01 20:24:03.945999575
682,1,682,2021-09-01 20:23:44.263553000,2021-09-01 20:23:42.794617000,2021-09-01 20:23:58.907830000,2021-09-01 20:23:51.585489000,8.851447217632085,11.801383002195507,9.084169890265912,9.110510611906648,2021-09-01 20:23:53.115000218,2021-09-01 20:23:54.596000002,2021-09-01 20:24:07.991999890,2021-09-01 20:24:00.695999612
683,1,683,2021-09-01 20:23:47.761725000,2021-09-01 20:23:47.645239000,2021-09-01 20:23:51.157168000,2021-09-01 20:23:50.370669000,9.069274571724236,8.761761095840484,8.68083164608106,8.846331204753369,2021-09-01 20:23:56.830999572,2021-09-01 20:23:56.407000096,2021-09-01 20:23:59.837999646,2021-09-01 20:23:59.217000205
684,1,684,2021-09-01 20:23:59.405595000,2021-09-01 20:23:52.722991000,2021-09-01 20:23:55.878232000,2021-09-01 20:24:04.144178000,8.766405371017754,9.124008906073868,8.86776797613129,8.857822206337005,2021-09-01 20:24:08.172000371,2021-09-01 20:24:01.846999906,2021-09-01 20:24:04.745999976,2021-09-01 20:24:13.002000206
685,1,685,2021-09-01 20:23:53.340561000,2021-09-01 20:23:54.822977000,2021-09-01 20:24:08.221275000,2021-09-01 20:24:00.922701000,9.03643873007968,8.804023039061576,16.68172450363636,9.172298876568677,2021-09-01 20:24:02.376999730,2021-09-01 20:24:03.627000039,2021-09-01 20:24:24.902999504,2021-09-01 20:24:10.094999877
686,1,686,2021-09-01 20:23:57.060859000,2021-09-01 20:23:56.692894000,2021-09-01 20:24:00.058706000,2021-09-01 20:23:59.652412000,9.160140658728778,8.944106314796954,9.006293646991253,9.110587688162925,2021-09-01 20:24:06.220999659,2021-09-01 20:24:05.637000315,2021-09-01 20:24:09.064999647,2021-09-01 20:24:08.762999688
687,1,687,2021-09-01 20:24:08.394180000,2021-09-01 20:24:02.076057000,2021-09-01 20:24:04.938812000,2021-09-01 20:24:13.231592000,9.6158195938915,8.989943119697273,8.851188353262842,9.080407805275172,2021-09-01 20:24:18.009999594,2021-09-01 20:24:11.066000120,2021-09-01 20:24:13.790000353,2021-09-01 20:24:22.311999805
688,1,688,2021-09-01 20:24:02.605777000,2021-09-01 20:24:03.850469000,2021-09-01 20:24:25.083776000,2021-09-01 20:24:10.330438000,9.125222669914365,8.823531110305339,8.57522390410304,8.826562453061342,2021-09-01 20:24:11.730999670,2021-09-01 20:24:12.674000110,2021-09-01 20:24:33.658999904,2021-09-01 20:24:19.157000453
689,1,689,2021-09-01 20:24:06.433487000,2021-09-01 20:24:05.840261000,2021-09-01 20:24:09.303419000,2021-09-01 20:24:09.001061000,10.296513013076035,8.821739069186151,8.892581467982382,8.75893881591037,2021-09-01 20:24:16.730000013,2021-09-01 20:24:14.662000069,2021-09-01 20:24:18.196000468,2021-09-01 20:24:17.759999816
690,1,690,2021-09-01 20:24:18.204969000,2021-09-01 20:24:11.295394000,2021-09-01 20:24:13.992530000,2021-09-01 20:24:22.507658000,8.338031243067235,20.76460616616532,8.486469617579132,8.406341563910246,2021-09-01 20:24:26.543000243,2021-09-01 20:24:32.060000166,2021-09-01 20:24:22.478999618,2021-09-01 20:24:30.913999564
691,1,691,2021-09-01 20:24:11.928656000,2021-09-01 20:24:12.886733000,2021-09-01 20:24:33.844326000,2021-09-01 20:24:19.343518000,10.75434354506433,8.520266535226256,8.983674409799278,8.492481744848192,2021-09-01 20:24:22.682999545,2021-09-01 20:24:21.406999535,2021-09-01 20:24:42.828000410,2021-09-01 20:24:27.835999745
692,1,692,2021-09-01 20:24:16.928220000,2021-09-01 20:24:14.916709000,2021-09-01 20:24:25.810232000,2021-09-01 20:24:25.812205000,8.157779791392386,8.334291155915707,8.806767908856273,8.646795228123665,2021-09-01 20:24:25.085999791,2021-09-01 20:24:23.251000156,2021-09-01 20:24:34.616999909,2021-09-01 20:24:34.459000228
693,1,693,2021-09-01 20:24:26.725319000,2021-09-01 20:24:32.249382000,2021-09-01 20:24:26.702632000,2021-09-01 20:24:31.105150000,8.991681162267923,9.014618061017243,8.70236799493432,9.075849991757424,2021-09-01 20:24:35.717000162,2021-09-01 20:24:41.264000061,2021-09-01 20:24:35.404999995,2021-09-01 20:24:40.180999992
