,Epoch,Index number,Iteration time (sec),Training Stall time (sec)_gpu0,Training Stall time (sec)_gpu1,Training Stall time (sec)_gpu2,Training Stall time (sec)_gpu3,Training stall time (sec),Delay time (sec),Batch fetch time diff (sec),Batch fetch start time diff (sec)
57,2,57,4.952153,4.03601,4.038729,4.039617,4.041853,4.041853,0.0058429999999995985,0.005843,0.005843
58,2,58,3.587915,2.671758,2.674464,2.676432,2.677615,2.677615,0.005856999999999779,0.005857,0.005857
59,2,59,0.9103,0,0,0,0,0,0,0.004984000000000001,0.004984000000000001
60,2,60,4.730945,3.814802,3.817521,3.818409,3.820645,3.820645,0.005843000000000043,0.005843,0.005843
61,2,61,3.476773,2.560616,2.563322,2.56529,2.566473,2.566473,0.005856999999999779,0.005857,0.005857
62,2,62,0.9103,0,0,0,0,0,0,0.004984000000000001,0.004984000000000001
63,2,63,4.593077,3.676934,3.679653,3.680541,3.682777,3.682777,0.005843000000000043,0.005843,0.005843
64,2,64,4.387816,3.471659,3.474365,3.476333,3.477516,3.477516,0.005857000000000223,0.005857,0.005857
65,2,65,0.9103,0,0,0,0,0,0,0.004984000000000001,0.004984000000000001
66,2,66,3.512537,2.596394,2.599113,2.600001,2.602237,2.602237,0.005843000000000043,0.005843,0.005843
67,2,67,4.473149,3.556992,3.559698,3.561666,3.562849,3.562849,0.005856999999999779,0.005857,0.005857
68,2,68,0.9103,0,0,0,0,0,0,0.004984000000000001,0.004984000000000001
69,2,69,3.756788,2.840645,2.843364,2.844252,2.846488,2.846488,0.005843000000000043,0.005843,0.005843
70,2,70,4.397773,3.481616,3.484322,3.48629,3.487473,3.487473,0.005857000000000223,0.005857,0.005857
71,2,71,0.9103,0,0,0,0,0,0,0.004984000000000001,0.004984000000000001
72,2,72,3.834356,2.918213,2.920932,2.92182,2.924056,2.924056,0.005843000000000043,0.005843,0.005843
73,2,73,4.201515,3.285358,3.288064,3.290032,3.291215,3.291215,0.005856999999999779,0.005857,0.005857
74,2,74,0.9103,0,0,0,0,0,0,0.004984000000000001,0.004984000000000001
75,2,75,3.791967,2.875824,2.878543,2.879431,2.881667,2.881667,0.005843000000000043,0.005843,0.005843
76,2,76,5.009295,4.093138,4.095844,4.097812,4.098995,4.098995,0.005857000000000667,0.005857,0.005857
77,2,77,0.9103,0,0,0,0,0,0,0.004984000000000001,0.004984000000000001
78,2,78,3.149694,2.233551,2.23627,2.237158,2.239394,2.239394,0.005843000000000043,0.005843,0.005843
79,2,79,6.832053,5.915896,5.918602,5.92057,5.921753,5.921753,0.005856999999999779,0.005857,0.005857
80,2,80,0.9103,0,0,0,0,0,0,0.004984000000000001,0.004984000000000001
81,2,81,1.132054,0.215911,0.21863,0.219518,0.221754,0.221754,0.005843000000000015,0.005843,0.005843
82,2,82,6.585229,5.669072,5.671778,5.673746,5.674929,5.674929,0.005856999999999779,0.005857,0.005857
83,2,83,0.9103,0,0,0,0,0,0,0.004984000000000001,0.004984000000000001
84,2,84,1.435563,0.51942,0.522139,0.523027,0.525263,0.525263,0.005843000000000043,0.005843,0.005843
85,2,85,6.13685,5.220693,5.223399,5.225367,5.22655,5.22655,0.005856999999999779,0.005857,0.005857
86,2,86,0.9103,0,0,0,0,0,0,0.0,0.0
87,2,87,1.871323,0.95518,0.957899,0.958787,0.961023,0.961023,0.005842999999999932,0.005843,0.005843
88,2,88,6.122415,5.206258,5.208964,5.210932,5.212115,5.212115,0.005856999999999779,0.005857,0.005857
89,2,89,0.9103,0,0,0,0,0,0,0.0,0.0
90,2,90,1.918234,1.002091,1.00481,1.005698,1.007934,1.007934,0.005843000000000043,0.005843,0.005843
91,2,91,6.286195,5.370038,5.372744,5.374712,5.375895,5.375895,0.005856999999999779,0.005857,0.005857
92,2,92,0.9103,0,0,0,0,0,0,0.0,0.0
93,2,93,1.812506,0.896363,0.899082,0.89997,0.902206,0.902206,0.005842999999999932,0.005843,0.005843
94,2,94,6.569029,5.652872,5.655578,5.657546,5.658729,5.658729,0.005856999999999779,0.005857,0.005857
95,2,95,0.9103,0,0,0,0,0,0,0.0,0.0
96,2,96,2.398102,1.481959,1.484678,1.485566,1.487802,1.487802,0.005843000000000043,0.005843,0.005843
97,2,97,5.898815,4.982658,4.985364,4.987332,4.988515,4.988515,0.005856999999999779,0.005857,0.005857
98,2,98,0.9103,0,0,0,0,0,0,0.0,0.0
99,2,99,2.091074,1.174931,1.17765,1.178538,1.180774,1.180774,0.005843000000000043,0.005843,0.005843
100,2,100,6.172244,5.256087,5.258793,5.260761,5.261944,5.261944,0.005856999999999779,0.005857,0.005857
101,2,101,0.9103,0,0,0,0,0,0,0.0,0.0
102,2,102,1.967537,1.051394,1.054113,1.055001,1.057237,1.057237,0.005843000000000043,0.005843,0.005843
103,2,103,6.227677,5.31152,5.314226,5.316194,5.317377,5.317377,0.005856999999999779,0.005857,0.005857
104,2,104,0.9103,0,0,0,0,0,0,0.0,0.0
105,2,105,1.722004,0.805861,0.80858,0.809468,0.811704,0.811704,0.005842999999999932,0.005843,0.005843
106,2,106,6.366929,5.450772,5.453478,5.455446,5.456629,5.456629,0.005857000000000667,0.005857,0.005857
107,2,107,0.9103,0,0,0,0,0,0,0.0,0.0
108,2,108,1.621626,0.705483,0.708202,0.70909,0.711326,0.711326,0.005843000000000043,0.005843,0.005843
109,2,109,6.469291,5.553134,5.55584,5.557808,5.558991,5.558991,0.005856999999999779,0.005857,0.005857
110,2,110,0.9103,0,0,0,0,0,0,0.0,0.0
111,2,111,1.543566,0.627423,0.630142,0.63103,0.633266,0.633266,0.005843000000000043,0.005843,0.005843
112,2,112,6.630689,5.714532,5.717238,5.719206,5.720389,5.720389,0.005856999999999779,0.005857,0.005857
113,2,113,0.9103,0,0,0,0,0,0,0.0,0.0
114,2,114,1.576652,0.660509,0.663228,0.664116,0.666352,0.666352,0.005843000000000043,0.005843,0.005843
115,2,115,7.173927,6.25777,6.260476,6.262444,6.263627,6.263627,0.005856999999999779,0.005857,0.005857
116,2,116,0.9103,0,0,0,0,0,0,0.0,0.0
117,2,117,1.053876,0.137733,0.140452,0.14134,0.143576,0.143576,0.005843000000000015,0.005843,0.005843
118,2,118,10.657735,9.741578,9.744284,9.746252,9.747435,9.747435,0.005856999999998891,0.005857,0.005857
119,2,119,0.9103,0,0,0,0,0,0,0.0,0.0
120,2,120,0.9103,0,0,0,0,0,0,0.005843,0.005843
121,2,121,7.361375,6.445218,6.447924,6.449892,6.451075,6.451075,0.005857000000000667,0.005857,0.005857
122,2,122,0.9103,0,0,0,0,0,0,0.0,0.0
123,2,123,0.9103,0,0,0,0,0,0,0.005843,0.005843
124,2,124,7.17448,6.258323,6.261029,6.262997,6.26418,6.26418,0.005856999999999779,0.005857,0.005857
125,2,125,0.9103,0,0,0,0,0,0,0.0,0.0
126,2,126,0.9103,0,0,0,0,0,0,0.005843,0.005843
127,2,127,7.000239,6.084082,6.086788,6.088756,6.089939,6.089939,0.005856999999999779,0.005857,0.005857
128,2,128,0.9103,0,0,0,0,0,0,0.0,0.0
129,2,129,0.9103,0,0,0,0,0,0,0.005843,0.005843
130,2,130,7.009693,6.093536,6.096242,6.09821,6.099393,6.099393,0.005856999999999779,0.005857,0.005857
131,2,131,0.9103,0,0,0,0,0,0,0.0,0.0
132,2,132,0.9103,0,0,0,0,0,0,0.005843,0.005843
