,Epoch,Index number,Iteration time (sec),Training Stall time (sec)_gpu0,Training Stall time (sec)_gpu1,Training Stall time (sec)_gpu2,Training Stall time (sec)_gpu3,Training stall time (sec),Delay time (sec),Batch fetch time diff (sec),Batch fetch start time diff (sec)
76,2,76,5.009281,4.098981,4.098981,4.098981,4.098981,4.098981,0.0,0.0,0.0
77,2,77,0.9103,0,0,0,0,0,0,0.0,0.0
78,2,78,3.149708,2.239408,2.239408,2.239408,2.239408,2.239408,0.0,0.0,0.0
79,2,79,6.832039,5.921739,5.921739,5.921739,5.921739,5.921739,0.0,0.0,0.0
80,2,80,0.9103,0,0,0,0,0,0,0.0,0.0
81,2,81,1.132068,0.221768,0.221768,0.221768,0.221768,0.221768,0.0,0.0,0.0
82,2,82,6.585215,5.674915,5.674915,5.674915,5.674915,5.674915,0.0,0.0,0.0
83,2,83,0.9103,0,0,0,0,0,0,0.0,0.0
84,2,84,1.435577,0.525277,0.525277,0.525277,0.525277,0.525277,0.0,0.0,0.0
85,2,85,6.136836,5.226536,5.226536,5.226536,5.226536,5.226536,0.0,0.0,0.0
86,2,86,0.9103,0,0,0,0,0,0,0.0,0.0
87,2,87,1.871337,0.961037,0.961037,0.961037,0.961037,0.961037,0.0,0.0,0.0
88,2,88,6.122401,5.212101,5.212101,5.212101,5.212101,5.212101,0.0,0.0,0.0
89,2,89,0.9103,0,0,0,0,0,0,0.0,0.0
90,2,90,1.918248,1.007948,1.007948,1.007948,1.007948,1.007948,0.0,0.0,0.0
91,2,91,6.286181,5.375881,5.375881,5.375881,5.375881,5.375881,0.0,0.0,0.0
92,2,92,0.9103,0,0,0,0,0,0,0.0,0.0
93,2,93,1.81252,0.90222,0.90222,0.90222,0.90222,0.90222,0.0,0.0,0.0
94,2,94,6.569015,5.658715,5.658715,5.658715,5.658715,5.658715,0.0,0.0,0.0
95,2,95,0.9103,0,0,0,0,0,0,0.0,0.0
96,2,96,2.398116,1.487816,1.487816,1.487816,1.487816,1.487816,0.0,0.0,0.0
97,2,97,5.898801,4.988501,4.988501,4.988501,4.988501,4.988501,0.0,0.0,0.0
98,2,98,0.9103,0,0,0,0,0,0,0.0,0.0
99,2,99,2.091088,1.180788,1.180788,1.180788,1.180788,1.180788,0.0,0.0,0.0
100,2,100,6.17223,5.26193,5.26193,5.26193,5.26193,5.26193,0.0,0.0,0.0
101,2,101,0.9103,0,0,0,0,0,0,0.0,0.0
102,2,102,1.967551,1.057251,1.057251,1.057251,1.057251,1.057251,0.0,0.0,0.0
103,2,103,6.227663,5.317363,5.317363,5.317363,5.317363,5.317363,0.0,0.0,0.0
104,2,104,0.9103,0,0,0,0,0,0,0.0,0.0
105,2,105,1.722018,0.811718,0.811718,0.811718,0.811718,0.811718,0.0,0.0,0.0
106,2,106,6.366915,5.456615,5.456615,5.456615,5.456615,5.456615,0.0,0.0,0.0
107,2,107,0.9103,0,0,0,0,0,0,0.0,0.0
108,2,108,1.62164,0.71134,0.71134,0.71134,0.71134,0.71134,0.0,0.0,0.0
109,2,109,6.469277,5.558977,5.558977,5.558977,5.558977,5.558977,0.0,0.0,0.0
110,2,110,0.9103,0,0,0,0,0,0,0.0,0.0
111,2,111,1.54358,0.63328,0.63328,0.63328,0.63328,0.63328,0.0,0.0,0.0
112,2,112,6.630675,5.720375,5.720375,5.720375,5.720375,5.720375,0.0,0.0,0.0
113,2,113,0.9103,0,0,0,0,0,0,0.0,0.0
114,2,114,1.576666,0.666366,0.666366,0.666366,0.666366,0.666366,0.0,0.0,0.0
115,2,115,7.173913,6.263613,6.263613,6.263613,6.263613,6.263613,0.0,0.0,0.0
116,2,116,0.9103,0,0,0,0,0,0,0.0,0.0
117,2,117,1.05389,0.14359,0.14359,0.14359,0.14359,0.14359,0.0,0.0,0.0
118,2,118,10.657721,9.747421,9.747421,9.747421,9.747421,9.747421,0.0,0.0,0.0
119,2,119,0.9103,0,0,0,0,0,0,0.0,0.0
120,2,120,0.9103,0,0,0,0,0,0,0.0,0.0
121,2,121,7.361375,6.451075,6.451075,6.451075,6.451075,6.451075,0.0,0.0,0.0
122,2,122,0.9103,0,0,0,0,0,0,0.0,0.0
123,2,123,0.9103,0,0,0,0,0,0,0.0,0.0
124,2,124,7.17448,6.26418,6.26418,6.26418,6.26418,6.26418,0.0,0.0,0.0
125,2,125,0.9103,0,0,0,0,0,0,0.0,0.0
126,2,126,0.9103,0,0,0,0,0,0,0.0,0.0
127,2,127,7.000239,6.089939,6.089939,6.089939,6.089939,6.089939,0.0,0.0,0.0
128,2,128,0.9103,0,0,0,0,0,0,0.0,0.0
129,2,129,0.9103,0,0,0,0,0,0,0.0,0.0
130,2,130,7.009693,6.099393,6.099393,6.099393,6.099393,6.099393,0.0,0.0,0.0
131,2,131,0.9103,0,0,0,0,0,0,0.0,0.0
132,2,132,0.9103,0,0,0,0,0,0,0.0,0.0
133,2,133,7.291098,6.380798,6.380798,6.380798,6.380798,6.380798,0.0,0.0,0.0
134,2,134,0.9103,0,0,0,0,0,0,0.0,0.0
135,2,135,0.9103,0,0,0,0,0,0,0.0,0.0
136,2,136,8.06555,7.15525,7.15525,7.15525,7.15525,7.15525,0.0,0.0,0.0
137,2,137,0.9103,0,0,0,0,0,0,0.0,0.0
138,2,138,0.9103,0,0,0,0,0,0,0.0,0.0
139,2,139,7.062619,6.152319,6.152319,6.152319,6.152319,6.152319,0.0,0.0,0.0
140,2,140,0.9103,0,0,0,0,0,0,0.0,0.0
141,2,141,0.9103,0,0,0,0,0,0,0.0,0.0
142,2,142,7.397079,6.486779,6.486779,6.486779,6.486779,6.486779,0.0,0.0,0.0
143,2,143,0.9103,0,0,0,0,0,0,0.0,0.0
144,2,144,0.9103,0,0,0,0,0,0,0.0,0.0
145,2,145,7.121481,6.211181,6.211181,6.211181,6.211181,6.211181,0.0,0.0,0.0
146,2,146,0.9103,0,0,0,0,0,0,0.0,0.0
147,2,147,0.9103,0,0,0,0,0,0,0.0,0.0
148,2,148,7.112712,6.202412,6.202412,6.202412,6.202412,6.202412,0.0,0.0,0.0
149,2,149,0.9103,0,0,0,0,0,0,0.0,0.0
150,2,150,0.9103,0,0,0,0,0,0,0.0,0.0
151,2,151,7.106105,6.195805,6.195805,6.195805,6.195805,6.195805,0.0,0.0,0.0
152,2,152,0.9103,0,0,0,0,0,0,0.0,0.0
153,2,153,0.9103,0,0,0,0,0,0,0.0,0.0
154,2,154,7.287644,6.377344,6.377344,6.377344,6.377344,6.377344,0.0,0.0,0.0
155,2,155,0.9103,0,0,0,0,0,0,0.0,0.0
156,2,156,0.9103,0,0,0,0,0,0,0.0,0.0
157,2,157,7.143,6.2327,6.2327,6.2327,6.2327,6.2327,0.0,0.0,0.0
158,2,158,0.9103,0,0,0,0,0,0,0.0,0.0
159,2,159,0.9103,0,0,0,0,0,0,0.0,0.0
160,2,160,7.436083,6.525783,6.525783,6.525783,6.525783,6.525783,0.0,0.0,0.0
161,2,161,0.9103,0,0,0,0,0,0,0.0,0.0
162,2,162,0.9103,0,0,0,0,0,0,0.0,0.0
163,2,163,7.266698,6.356398,6.356398,6.356398,6.356398,6.356398,0.0,0.0,0.0
164,2,164,0.9103,0,0,0,0,0,0,0.0,0.0
165,2,165,0.9103,0,0,0,0,0,0,0.0,0.0
166,2,166,7.411806,6.501506,6.501506,6.501506,6.501506,6.501506,0.0,0.0,0.0
167,2,167,0.9103,0,0,0,0,0,0,0.0,0.0
168,2,168,0.9103,0,0,0,0,0,0,0.0,0.0
169,2,169,7.198519,6.288219,6.288219,6.288219,6.288219,6.288219,0.0,0.0,0.0
170,2,170,0.9103,0,0,0,0,0,0,0.0,0.0
171,2,171,0.9103,0,0,0,0,0,0,0.0,0.0
172,2,172,7.111189,6.200889,6.200889,6.200889,6.200889,6.200889,0.0,0.0,0.0
173,2,173,0.9103,0,0,0,0,0,0,0.0,0.0
