,Slowest end time,Training end time,Delay time (sec),Training stall time (sec),Training Stall time (sec)_gpu0,Training Stall time (sec)_gpu1,Training Stall time (sec)_gpu2,Training Stall time (sec)_gpu3
59,2021-08-19 14:49:33.892774,2021-08-19 14:49:34.803074,0.36146,0.36146,0,0,0.36146,0
60,2021-08-19 14:49:32.901136,2021-08-19 14:49:35.713374,0,0,0,0,0,0
61,2021-08-19 14:49:41.982217,2021-08-19 14:49:42.892517,0.0,6.268843,6.268843,5.522036,5.59327,5.744686
62,2021-08-19 14:49:41.799687,2021-08-19 14:49:43.802817,0,0,0,0,0,0
63,2021-08-19 14:49:42.275157,2021-08-19 14:49:44.713117,0,0,0,0,0,0
64,2021-08-19 14:49:50.454753,2021-08-19 14:49:51.365053,0.11101799999999962,5.741636,5.630618,5.741636,5.3593,5.278216
65,2021-08-19 14:49:54.185792,2021-08-19 14:49:55.096092,2.820739,2.820739,0,2.820739,0,0
66,2021-08-19 14:49:53.889306,2021-08-19 14:49:56.006392,0,0,0,0,0,0
67,2021-08-19 14:49:58.992369,2021-08-19 14:49:59.902669,0.318082,2.985977,2.667895,2.904306,2.624198,2.985977
68,2021-08-19 14:49:59.393033,2021-08-19 14:50:00.812969,0,0,0,0,0,0
69,2021-08-19 14:49:59.012041,2021-08-19 14:50:01.723269,0,0,0,0,0,0
70,2021-08-19 14:50:07.878540,2021-08-19 14:50:08.788840,0.16056500000000007,6.155271,5.994706,6.018208,6.022047,6.155271
71,2021-08-19 14:50:07.978384,2021-08-19 14:50:09.699140,0,0,0,0,0,0
72,2021-08-19 14:50:07.978420,2021-08-19 14:50:10.609440,0,0,0,0,0,0
73,2021-08-19 14:50:16.958109,2021-08-19 14:50:17.868409,0.293844,6.348669,6.054825,6.348669,6.296484,6.30388
74,2021-08-19 14:50:16.861053,2021-08-19 14:50:18.778709,0,0,0,0,0,0
75,2021-08-19 14:50:16.807168,2021-08-19 14:50:19.689009,0,0,0,0,0,0
76,2021-08-19 14:50:25.634849,2021-08-19 14:50:26.545149,0.0,5.94584,5.94584,5.81339,5.839547,5.917377
77,2021-08-19 14:50:28.281547,2021-08-19 14:50:29.191847,1.736398,1.736398,0,1.736398,0,0
78,2021-08-19 14:50:25.903773,2021-08-19 14:50:30.102147,0,0,0,0,0,0
79,2021-08-19 14:50:34.788211,2021-08-19 14:50:35.698511,0.0,4.686064,4.686064,4.119004,4.424965,4.648131
80,2021-08-19 14:50:42.806624,2021-08-19 14:50:43.716924,7.108113,7.108113,0,0,7.108113,0
81,2021-08-19 14:50:34.367060,2021-08-19 14:50:44.627224,0,0,0,0,0,0
82,2021-08-19 14:50:43.236153,2021-08-19 14:50:45.537524,0,0,0,0,0,0
83,2021-08-19 14:50:43.205812,2021-08-19 14:50:46.447824,0,0,0,0,0,0
84,2021-08-19 14:50:42.826531,2021-08-19 14:50:47.358124,0,0,0,0,0,0
85,2021-08-19 14:50:53.092751,2021-08-19 14:50:54.003051,2.048723,5.734627,3.685904,4.127715,4.066356,5.734627
86,2021-08-19 14:50:52.996933,2021-08-19 14:50:54.913351,0,0,0,0,0,0
87,2021-08-19 14:50:54.084813,2021-08-19 14:50:55.823651,0,0,0,0,0,0
88,2021-08-19 14:51:00.105638,2021-08-19 14:51:01.015938,0.21832199999999968,4.281987,4.063665,3.990396,4.219353,4.281987
89,2021-08-19 14:51:00.873532,2021-08-19 14:51:01.926238,0,0,0,0,0,0
90,2021-08-19 14:51:02.315257,2021-08-19 14:51:03.225557,0.216203,0.389019,0.172816,0.389019,0,0.177109
91,2021-08-19 14:51:09.047169,2021-08-19 14:51:09.957469,0.35272799999999993,5.821612,5.468884,5.388962,5.821612,5.478298
92,2021-08-19 14:51:09.748593,2021-08-19 14:51:10.867769,0,0,0,0,0,0
93,2021-08-19 14:51:10.913152,2021-08-19 14:51:11.823452,0.045383,0.045383,0,0.027746,0.045383,0
94,2021-08-19 14:51:18.070337,2021-08-19 14:51:18.980637,0.38924499999999984,6.246885,5.85764,5.706029,5.389717,6.246885
95,2021-08-19 14:51:19.216450,2021-08-19 14:51:20.126750,0.0,0.235813,0.235813,0,0,0
96,2021-08-19 14:51:20.629956,2021-08-19 14:51:21.540256,0.503206,0.503206,0,0.503206,0,0
97,2021-08-19 14:51:29.741748,2021-08-19 14:51:30.652048,3.5463639999999996,8.201492,4.655128,8.201492,4.803285,4.54147
98,2021-08-19 14:51:28.054869,2021-08-19 14:51:31.562348,0,0,0,0,0,0
99,2021-08-19 14:51:28.474249,2021-08-19 14:51:32.472648,0,0,0,0,0,0
100,2021-08-19 14:51:35.219086,2021-08-19 14:51:36.129386,0.3648850000000001,2.746438,2.381553,2.46767,2.441408,2.746438
101,2021-08-19 14:51:36.994029,2021-08-19 14:51:37.904329,0.26497800000000005,0.864643,0.599665,0.520259,0.650502,0.864643
102,2021-08-19 14:51:37.728702,2021-08-19 14:51:38.814629,0,0,0,0,0,0
103,2021-08-19 14:51:44.066047,2021-08-19 14:51:44.976347,0.1891910000000001,5.251418,5.062227,5.104407,4.940559,5.251418
104,2021-08-19 14:51:46.028846,2021-08-19 14:51:46.939146,0.0,1.052499,1.052499,0.633775,0.797247,0.631726
105,2021-08-19 14:51:46.498549,2021-08-19 14:51:47.849446,0,0,0,0,0,0
106,2021-08-19 14:51:52.795288,2021-08-19 14:51:53.705588,0.17529299999999992,4.945842,4.770549,4.945842,4.534274,4.812225
107,2021-08-19 14:51:54.772067,2021-08-19 14:51:55.682367,0.12530299999999994,1.066479,0.941176,0.812034,0.787181,1.066479
108,2021-08-19 14:51:55.860240,2021-08-19 14:51:56.770540,0.0,0.177873,0.177873,0,0,0
109,2021-08-19 14:52:01.488313,2021-08-19 14:52:02.398613,0.3360479999999999,4.717773,4.381725,4.54102,4.407622,4.717773
110,2021-08-19 14:52:03.754338,2021-08-19 14:52:04.664638,0.29748600000000014,1.355725,1.058239,1.082746,1.355725,0.884781
111,2021-08-19 14:52:03.883956,2021-08-19 14:52:05.574938,0,0,0,0,0,0
112,2021-08-19 14:52:10.181754,2021-08-19 14:52:11.092054,0.11650200000000055,4.606816,4.490314,4.529113,4.375695,4.606816
113,2021-08-19 14:52:12.528593,2021-08-19 14:52:13.438893,0.0,1.436539,1.436539,1.258747,1.133366,1.274928
114,2021-08-19 14:52:12.452913,2021-08-19 14:52:14.349193,0,0,0,0,0,0
115,2021-08-19 14:52:19.371941,2021-08-19 14:52:20.282241,0.2965479999999996,5.022748,4.7262,5.022748,4.147911,4.979465
116,2021-08-19 14:52:23.432755,2021-08-19 14:52:24.343055,1.9016879999999998,3.150514,1.248826,1.116742,3.150514,0.900151
117,2021-08-19 14:52:21.547544,2021-08-19 14:52:25.253355,0,0,0,0,0,0
118,2021-08-19 14:52:27.865637,2021-08-19 14:52:28.775937,0.22750899999999996,2.612282,2.384773,2.612282,1.978449,2.551903
119,2021-08-19 14:52:44.886686,2021-08-19 14:52:45.796986,0.0,16.110749,16.110749,2.114507,0.476939,1.411269
120,2021-08-19 14:52:30.231506,2021-08-19 14:52:46.707286,0,0,0,0,0,0
121,2021-08-19 14:52:36.113540,2021-08-19 14:52:47.617586,0,0,0,0,0,0
122,2021-08-19 14:52:39.426286,2021-08-19 14:52:48.527886,0,0,0,0,0,0
123,2021-08-19 14:52:45.255234,2021-08-19 14:52:49.438186,0,0,0,0,0,0
124,2021-08-19 14:52:44.318311,2021-08-19 14:52:50.348486,0,0,0,0,0,0
125,2021-08-19 14:52:55.352154,2021-08-19 14:52:56.262454,0.48507000000000033,5.003668,4.518598,4.318462,4.33359,5.003668
126,2021-08-19 14:52:55.884241,2021-08-19 14:52:57.172754,0,0,0,0,0,0
127,2021-08-19 14:52:56.719588,2021-08-19 14:52:58.083054,0,0,0,0,0,0
128,2021-08-19 14:53:03.659172,2021-08-19 14:53:04.569472,0.0,5.576118,5.576118,5.351063,5.309793,5.381959
129,2021-08-19 14:53:04.648248,2021-08-19 14:53:05.558548,0.078776,0.078776,0,0,0.078776,0
130,2021-08-19 14:53:05.636272,2021-08-19 14:53:06.546572,0.077724,0.077724,0,0,0,0.077724
131,2021-08-19 14:53:12.332923,2021-08-19 14:53:13.243223,0.0,5.786351,5.786351,5.691467,5.597318,5.631138
132,2021-08-19 14:53:13.162545,2021-08-19 14:53:14.153523,0,0,0,0,0,0
133,2021-08-19 14:53:14.115928,2021-08-19 14:53:15.063823,0,0,0,0,0,0
134,2021-08-19 14:53:21.321756,2021-08-19 14:53:22.232056,0.0,6.257933,6.257933,6.208361,6.254987,6.045779
135,2021-08-19 14:53:22.239480,2021-08-19 14:53:23.149780,0.007424,0.007424,0,0.007424,0,0
136,2021-08-19 14:53:22.447166,2021-08-19 14:53:24.060080,0,0,0,0,0,0
137,2021-08-19 14:53:32.750011,2021-08-19 14:53:33.660311,0.0,8.689931,8.689931,6.67681,6.06661,6.309338
138,2021-08-19 14:53:30.773106,2021-08-19 14:53:34.570611,0,0,0,0,0,0
139,2021-08-19 14:53:31.362387,2021-08-19 14:53:35.480911,0,0,0,0,0,0
140,2021-08-19 14:53:39.160824,2021-08-19 14:53:40.071124,0.30160600000000004,3.679913,3.378307,3.545596,3.512177,3.679913
141,2021-08-19 14:53:50.059200,2021-08-19 14:53:50.969500,9.988076,9.988076,0,0,9.988076,0
142,2021-08-19 14:53:52.823375,2021-08-19 14:53:53.733675,1.853875,1.853875,0,0,1.853875,0
143,2021-08-19 14:53:48.916435,2021-08-19 14:53:54.643975,0,0,0,0,0,0
144,2021-08-19 14:53:48.063838,2021-08-19 14:53:55.554275,0,0,0,0,0,0
145,2021-08-19 14:53:48.413546,2021-08-19 14:53:56.464575,0,0,0,0,0,0
146,2021-08-19 14:53:56.727006,2021-08-19 14:53:57.637306,0.0,0.262431,0.262431,0,0.252281,0.1183
147,2021-08-19 14:53:59.982751,2021-08-19 14:54:00.893051,0.3526569999999998,2.345445,1.992788,2.345445,2.133515,2.127395
148,2021-08-19 14:54:02.717125,2021-08-19 14:54:03.627425,0.1251,1.824074,1.698974,1.744244,1.824074,1.73163
149,2021-08-19 14:54:05.550816,2021-08-19 14:54:06.461116,0.22862099999999996,1.923391,1.69477,1.240919,1.797218,1.923391
150,2021-08-19 14:54:08.631138,2021-08-19 14:54:09.541438,0.21216299999999988,2.170022,1.957859,1.903378,2.170022,1.912568
151,2021-08-19 14:54:11.693678,2021-08-19 14:54:12.603978,0.24138099999999985,2.15224,1.910859,1.889459,2.091094,2.15224
152,2021-08-19 14:54:13.875303,2021-08-19 14:54:14.785603,0.07413200000000009,1.271325,1.197193,1.178743,1.117022,1.271325
153,2021-08-19 14:54:17.585315,2021-08-19 14:54:18.495615,0.27839800000000015,2.799712,2.521314,2.552218,2.430898,2.799712
154,2021-08-19 14:54:20.741078,2021-08-19 14:54:21.651378,0.24132599999999993,2.245463,2.004137,1.836843,2.012408,2.245463
155,2021-08-19 14:54:23.171146,2021-08-19 14:54:24.081446,0.36417199999999994,1.519768,1.155596,1.519768,1.043739,0.992362
156,2021-08-19 14:54:26.235055,2021-08-19 14:54:27.145355,0.21953699999999987,2.153609,1.934072,2.153609,2.028752,1.959461
157,2021-08-19 14:54:29.404905,2021-08-19 14:54:30.315205,0.6250259999999999,2.25955,1.634524,2.126728,2.105205,2.25955
158,2021-08-19 14:54:31.655254,2021-08-19 14:54:32.565554,0.0,1.340049,1.340049,1.332116,1.254962,1.241415
159,2021-08-19 14:54:35.456840,2021-08-19 14:54:36.367140,0.0,2.891286,2.891286,2.14655,2.516007,2.433671
160,2021-08-19 14:54:38.337961,2021-08-19 14:54:39.248261,0.0,1.970821,1.970821,1.408882,1.213168,1.750386
161,2021-08-19 14:54:41.543864,2021-08-19 14:54:42.454164,0.9371809999999998,2.295603,1.358422,2.295603,1.145965,1.460177
162,2021-08-19 14:54:44.097017,2021-08-19 14:54:45.007317,0.30678399999999995,1.642853,1.336069,1.097812,1.322301,1.642853
163,2021-08-19 14:54:47.003371,2021-08-19 14:54:47.913671,0.4219219999999999,1.996054,1.574132,1.556146,1.996054,1.384255
164,2021-08-19 14:54:49.628152,2021-08-19 14:54:50.538452,0.015714999999999923,1.714481,1.698766,1.714481,1.335508,1.522658
165,2021-08-19 14:54:52.769448,2021-08-19 14:54:53.679748,0.0,2.230996,2.230996,1.61212,2.022144,1.767946
166,2021-08-19 14:54:55.557422,2021-08-19 14:54:56.467722,0.0,1.877674,1.877674,1.791893,1.65917,1.692959
167,2021-08-19 14:54:58.579619,2021-08-19 14:54:59.489919,0.0,2.111897,2.111897,1.929696,1.947128,2.066728
168,2021-08-19 14:55:01.379264,2021-08-19 14:55:02.289564,0.26759299999999997,1.889345,1.621752,1.338744,1.568838,1.889345
169,2021-08-19 14:55:04.341332,2021-08-19 14:55:05.251632,0.22372499999999995,2.051768,1.828043,1.842826,2.051768,1.864233
170,2021-08-19 14:55:07.751165,2021-08-19 14:55:08.661465,0.6006670000000001,2.499533,1.898866,2.499533,2.160226,2.100996
171,2021-08-19 14:55:09.797023,2021-08-19 14:55:10.707323,0.10984900000000009,1.135558,1.025709,0.800925,1.135558,0.623979
172,2021-08-19 14:55:13.431252,2021-08-19 14:55:14.341552,0.0,2.723929,2.723929,2.202117,2.212815,2.312518
173,2021-08-19 14:55:16.218014,2021-08-19 14:55:17.128314,0.12712800000000013,1.876462,1.749334,1.876462,1.753345,1.5838
174,2021-08-19 14:55:18.238218,2021-08-19 14:55:19.148518,0.145131,1.109904,0.964773,0.84477,1.109904,1.062447
175,2021-08-19 14:55:21.943412,2021-08-19 14:55:22.853712,0.43782500000000013,2.794894,2.357069,2.768749,2.758709,2.794894
176,2021-08-19 14:55:25.116488,2021-08-19 14:55:26.026788,0.0,2.262776,2.262776,2.057067,1.989357,1.963083
177,2021-08-19 14:55:27.043642,2021-08-19 14:55:27.953942,0.0,1.016854,1.016854,0.975585,0.977114,0.658499
178,2021-08-19 14:55:40.163753,2021-08-19 14:55:41.074053,9.564137,12.209811,2.645674,2.304169,12.209811,2.663282
179,2021-08-19 14:55:34.185300,2021-08-19 14:55:41.984353,0,0,0,0,0,0
180,2021-08-19 14:55:35.923118,2021-08-19 14:55:42.894653,0,0,0,0,0,0
